619899542 function calls (619590250 primitive calls) in 289.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFB7CF35D90}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       96    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 enum.py:479(__new__)
        8    0.000    0.000    0.000    0.000 dataclasses.py:445(add_fn)
    20/19    0.000    0.000    0.000    0.000 mock.py:805(__setattr__)
       13    0.000    0.000    0.000    0.000 enum.py:810(__setattr__)
        1    0.000    0.000    0.000    0.000 inspect.py:3245(__str__)
        6    0.000    0.000    0.000    0.000 mock.py:1178(_mock_call)
        4    0.000    0.000    0.000    0.000 game.py:25(make_move)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(__enter__)
        1    0.000    0.000    0.000    0.000 inspect.py:3248(format)
        1    0.000    0.000    0.000    0.000 game_view.py:7(prompt_game_mode)
        9    0.000    0.000    0.000    0.000 dataclasses.py:699(_is_classvar)
        1    0.000    0.000    0.000    0.000 mock.py:56(_is_async_obj)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
        6    0.000    0.000    0.000    0.000 mock.py:1227(_execute_mock_call)
        3    0.000    0.000    0.000    0.000 annotationlib.py:831(get_annotations)
        3    0.000    0.000    0.000    0.000 inspect.py:1904(_signature_get_user_defined_method)
        9    0.000    0.000    0.000    0.000 pstats.py:47(__new__)
        2    0.000    0.000    0.000    0.000 move_validator.py:7(is_move_valid)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:243(cache_from_source)
        9    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.000    0.000 mock.py:1153(__init__)
        2    0.000    0.000    0.000    0.000 dataclasses.py:891(_hash_add)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        8    0.000    0.000    0.000    0.000 inspect.py:2670(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:427(_classify_pyc)
    27/10    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        9    0.000    0.000    0.000    0.000 dataclasses.py:391(field)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:635(cached)
        9    0.000    0.000    0.000    0.000 typing.py:2441(get_origin)
        3    0.000    0.000    0.000    0.000 annotationlib.py:1044(_get_dunder_annotations)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:372(_get_cached)
        7    0.000    0.000    0.000    0.000 inspect.py:2760(_format)
       14    0.000    0.000    0.000    0.000 enum.py:46(_is_dunder)
        9    0.000    0.000    0.000    0.000 dataclasses.py:539(_field_init)
        9    0.000    0.000    0.000    0.000 enum.py:36(_is_descriptor)
        5    0.000    0.000    0.000    0.000 color.py:8(__str__)
        1    0.000    0.000    0.000    0.000 inspect.py:2021(_signature_bound_method)
        2    0.000    0.000    0.000    0.000 inspect.py:2962(__init__)
        1    0.000    0.000    0.000    0.000 game_view.py:28(prompt_ai_depth)
        1    0.000    0.000    0.000    0.000 game_view.py:18(prompt_human_color)
        2    0.000    0.000    0.000    0.000 move_strategies.py:262(is_move_valid)
        2    0.000    0.000    0.000    0.000 dataclasses.py:415(_fields_in_init_order)
        1    0.000    0.000    0.000    0.000 inspect.py:323(iscoroutinefunction)
       12    0.000    0.000    0.000    0.000 mock.py:2572(__new__)
        1    0.000    0.000    0.000    0.000 mock.py:445(__new__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1355(_get_spec)
       59    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:969(path_stats)
       40    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       41    0.000    0.000    0.000    0.000 _parser.py:261(get)
        6    0.000    0.000    0.000    0.000 inspect.py:662(unwrap)
        8    0.000    0.000    0.000    0.000 _compiler.py:248(_optimize_charset)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 move_strategies.py:492(_is_forward_move_valid)
        4    0.000    0.000    0.000    0.000 game.py:33(get_piece)
       10    0.000    0.000    0.000    0.000 dataclasses.py:870(_set_new_attribute)
        1    0.000    0.000    0.000    0.000 _compiler.py:525(_compile_info)
        1    0.000    0.000    0.000    0.000 inspect.py:365(isawaitable)
        1    0.000    0.000    0.000    0.000 inspect.py:285(_has_code_flag)
        9    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        9    0.000    0.000    0.000    0.000 enum.py:77(_is_private)
        1    0.000    0.000    0.000    0.000 mock.py:1633(__exit__)
        2    0.000    0.000    0.000    0.000 __init__.py:71(import_module)
        2    0.000    0.000    0.000    0.000 input_validator.py:7(is_valid_move_input)
        8    0.000    0.000    0.000    0.000 inspect.py:1333(formatannotation)
        1    0.000    0.000    0.000    0.000 enum.py:1593(__and__)
        7    0.000    0.000    0.000    0.000 mock.py:153(_callable)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:563(spec_from_file_location)
       18    0.000    0.000    0.000    0.000 mock.py:357(_get)
       59    0.000    0.000    0.000    0.000 _parser.py:256(match)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:460(_validate_timestamp_pyc)
       18    0.000    0.000    0.000    0.000 mock.py:362(_set)
        9    0.000    0.000    0.000    0.000 enum.py:676(__call__)
        2    0.000    0.000    0.000    0.000 inspect.py:1719(getattr_static)
       17    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 mock.py:1455(get_original)
        1    0.000    0.000    0.000    0.000 inspect.py:3040(replace)
       35    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       42    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1386(_gcd_import)
       77    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        2    0.000    0.000    0.000    0.000 dataclasses.py:424(_tuple_str)
        8    0.000    0.000    0.000    0.000 _compiler.py:412(_simple)
       10    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       26    0.000    0.000    0.000    0.000 _parser.py:176(append)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
        9    0.000    0.000    0.000    0.000 enum.py:57(_is_sunder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:423(__exit__)
        2    0.000    0.000    0.000    0.000 reprlib.py:12(decorating_function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       12    0.000    0.000    0.000    0.000 mock.py:77(_is_exception)
        1    0.000    0.000    0.000    0.000 mock.py:626(__set_side_effect)
        1    0.000    0.000    0.000    0.000 mock.py:464(__init__)
        8    0.000    0.000    0.000    0.000 _compiler.py:221(_compile_charset)
        1    0.000    0.000    0.000    0.000 pstats.py:73(Stats)
        2    0.000    0.000    0.000    0.000 inspect.py:1680(_check_class)
        1    0.000    0.000    0.000    0.000 mock.py:1333(__init__)
        9    0.000    0.000    0.000    0.000 dataclasses.py:527(_field_assign)
        2    0.000    0.000    0.000    0.000 input_parser.py:5(parse_input)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        5    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
       12    0.000    0.000    0.000    0.000 mock.py:2604(__init__)
        2    0.000    0.000    0.000    0.000 move_validator.py:16(_does_move_pass_basic_checks)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        9    0.000    0.000    0.000    0.000 dataclasses.py:599(_init_param)
        2    0.000    0.000    0.000    0.000 inspect.py:2061(_signature_is_functionlike)
        9    0.000    0.000    0.000    0.000 dataclasses.py:704(_is_initvar)
        9    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
       10    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        6    0.000    0.000    0.000    0.000 enum.py:186(__get__)
        4    0.000    0.000    0.000    0.000 rules.py:43(does_move_trigger_promotion)
       77    0.000    0.000    0.000    0.000 mock.py:2252(__init__)
       47    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       51    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 contextlib.py:571(__exit__)
       33    0.000    0.000    0.000    0.000 game.py:17(current_color)
        1    0.000    0.000    0.000    0.000 mock.py:1136(_try_iter)
        2    0.000    0.000    0.000    0.000 game_controller.py:127(_handle_ai_promotion)
        1    0.000    0.000    0.000    0.000 inspect.py:2047(_signature_is_builtin)
        2    0.000    0.000    0.000    0.000 game_controller.py:120(_handle_human_promotion)
       20    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        9    0.000    0.000    0.000    0.000 dataclasses.py:294(__init__)
        2    0.000    0.000    0.000    0.000 move_strategies.py:515(_is_double_move_valid)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
        4    0.000    0.000    0.000    0.000 mock.py:71(_is_instance_mock)
       35    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
        9    0.000    0.000    0.000    0.000 inspect.py:3017(<genexpr>)
        1    0.000    0.000    0.000    0.000 pstats.py:57(__annotate__)
        1    0.000    0.000    0.000    0.000 pstats.py:35(SortKey)
       11    0.000    0.000    0.000    0.000 dataclasses.py:419(<genexpr>)
        9    0.000    0.000    0.000    0.000 dataclasses.py:710(_is_kw_only)
        5    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 inspect.py:1706(_shadowed_dict)
       11    0.000    0.000    0.000    0.000 dataclasses.py:1117(<genexpr>)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        3    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:985(find_spec)
        1    0.000    0.000    0.000    0.000 functools.py:505(_unwrap_partialmethod)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       22    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:143(__subclasshook__)
        2    0.000    0.000    0.000    0.000 dataclasses.py:1342(dataclass)
        1    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:448(cb)
