730048278 function calls (729822249 primitive calls) in 219.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 dataclasses.py:699(_is_classvar)
       41    0.000    0.000    0.000    0.000 _parser.py:261(get)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       13    0.000    0.000    0.000    0.000 enum.py:810(__setattr__)
        1    0.000    0.000    0.000    0.000 _compiler.py:525(_compile_info)
        1    0.000    0.000    0.000    0.000 mock.py:1633(__exit__)
        2    0.000    0.000    0.000    0.000 move_validator.py:16(_does_move_pass_basic_checks)
        9    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        1    0.000    0.000    0.000    0.000 inspect.py:365(isawaitable)
        8    0.000    0.000    0.000    0.000 _compiler.py:248(_optimize_charset)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       22    0.000    0.000    0.000    0.000 pieces.py:53(__init__)
        6    0.000    0.000    0.000    0.000 enum.py:186(__get__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
        6    0.000    0.000    0.000    0.000 inspect.py:662(unwrap)
        2    0.000    0.000    0.000    0.000 input_validator.py:7(is_valid_move_input)
        3    0.000    0.000    0.000    0.000 annotationlib.py:1044(_get_dunder_annotations)
        9    0.000    0.000    0.000    0.000 pstats.py:47(__new__)
        2    0.000    0.000    0.000    0.000 __init__.py:71(import_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       59    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 enum.py:676(__call__)
       10    0.000    0.000    0.000    0.000 dataclasses.py:870(_set_new_attribute)
       18    0.000    0.000    0.000    0.000 mock.py:357(_get)
       59    0.000    0.000    0.000    0.000 _parser.py:256(match)
        8    0.000    0.000    0.000    0.000 inspect.py:1333(formatannotation)
        1    0.000    0.000    0.000    0.000 enum.py:1593(__and__)
       35    0.000    0.000    0.000    0.000 _parser.py:293(tell)
        2    0.000    0.000    0.000    0.000 dataclasses.py:891(_hash_add)
       42    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       77    0.000    0.000    0.000    0.000 _parser.py:240(__next)
       10    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
        2    0.000    0.000    0.000    0.000 inspect.py:1719(getattr_static)
        7    0.000    0.000    0.000    0.000 mock.py:153(_callable)
       18    0.000    0.000    0.000    0.000 mock.py:362(_set)
        1    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
        8    0.000    0.000    0.000    0.000 _compiler.py:412(_simple)
        9    0.000    0.000    0.000    0.000 dataclasses.py:391(field)
        1    0.000    0.000    0.000    0.000 inspect.py:3040(replace)
        1    0.000    0.000    0.000    0.000 mock.py:1455(get_original)
        1    0.000    0.000    0.000    0.000 mock.py:626(__set_side_effect)
        9    0.000    0.000    0.000    0.000 typing.py:2441(get_origin)
       26    0.000    0.000    0.000    0.000 _parser.py:176(append)
       40    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       12    0.000    0.000    0.000    0.000 mock.py:77(_is_exception)
        9    0.000    0.000    0.000    0.000 dataclasses.py:539(_field_init)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        4    0.000    0.000    0.000    0.000 rules.py:43(does_move_trigger_promotion)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1386(_gcd_import)
        1    0.000    0.000    0.000    0.000 functools.py:505(_unwrap_partialmethod)
        2    0.000    0.000    0.000    0.000 dataclasses.py:415(_fields_in_init_order)
        9    0.000    0.000    0.000    0.000 enum.py:36(_is_descriptor)
        2    0.000    0.000    0.000    0.000 game_controller.py:127(_handle_ai_promotion)
        2    0.000    0.000    0.000    0.000 reprlib.py:12(decorating_function)
       51    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 _compiler.py:221(_compile_charset)
        1    0.000    0.000    0.000    0.000 mock.py:464(__init__)
       14    0.000    0.000    0.000    0.000 enum.py:46(_is_dunder)
       12    0.000    0.000    0.000    0.000 mock.py:2604(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:423(__exit__)
        1    0.000    0.000    0.000    0.000 pstats.py:73(Stats)
       47    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
        1    0.000    0.000    0.000    0.000 mock.py:1136(_try_iter)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:427(_classify_pyc)
        1    0.000    0.000    0.000    0.000 mock.py:1677(_get_target)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        2    0.000    0.000    0.000    0.000 inspect.py:1680(_check_class)
       77    0.000    0.000    0.000    0.000 mock.py:2252(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1131(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        2    0.000    0.000    0.000    0.000 game_controller.py:120(_handle_human_promotion)
        1    0.000    0.000    0.000    0.000 contextlib.py:571(__exit__)
        2    0.000    0.000    0.000    0.000 input_parser.py:5(parse_input)
       35    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 inspect.py:2061(_signature_is_functionlike)
        1    0.000    0.000    0.000    0.000 mock.py:1333(__init__)
        4    0.000    0.000    0.000    0.000 game.py:33(get_piece)
       20    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        9    0.000    0.000    0.000    0.000 enum.py:77(_is_private)
        3    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
        3    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 inspect.py:2047(_signature_is_builtin)
       32    0.000    0.000    0.000    0.000 pieces.py:17(__init__)
       33    0.000    0.000    0.000    0.000 game.py:17(current_color)
        1    0.000    0.000    0.000    0.000 board.py:23(__init__)
       17    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        9    0.000    0.000    0.000    0.000 inspect.py:3017(<genexpr>)
        9    0.000    0.000    0.000    0.000 enum.py:57(_is_sunder)
       22    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        2    0.000    0.000    0.000    0.000 inspect.py:1706(_shadowed_dict)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:460(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:985(find_spec)
        4    0.000    0.000    0.000    0.000 mock.py:71(_is_instance_mock)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 dataclasses.py:424(_tuple_str)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
